"Date","Standardized_score","Prices","Policy","Finance","None","Growth","Global","Other"
"2003-11-06",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2003-12-04",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2004-01-08",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2004-02-05",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2004-03-04",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2004-04-01",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2004-05-06",-0.988648924071743,0,-0.741486693053807,-0.247162231017936,0,0,0,0
"2004-06-03",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2004-07-01",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2004-08-05",-0.846818969000795,0,-0.635114226750596,-0.211704742250199,0,0,0,0
"2004-09-02",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2004-10-07",-0.988648924071743,0,-0.741486693053807,-0.247162231017936,0,0,0,0
"2004-11-04",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2004-12-02",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2005-01-13",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2005-02-03",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2005-03-03",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2005-04-07",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2005-05-04",-0.988648924071743,0,-0.741486693053807,-0.247162231017936,0,0,0,0
"2005-06-02",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2005-07-07",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2005-08-04",-0.846818969000795,0,-0.635114226750596,-0.211704742250199,0,0,0,0
"2005-09-01",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2005-10-06",-0.988648924071743,0,-0.741486693053807,-0.247162231017936,0,0,0,0
"2005-11-03",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2005-12-01",1.83219129345044,0,1.52682607787536,0.305365215575073,0,0,0,0
"2006-01-12",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2006-02-02",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2006-03-02",1.83219129345044,0,1.52682607787536,0.305365215575073,0,0,0,0
"2006-04-06",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2006-05-04",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2006-06-08",1.83219129345044,0,1.52682607787536,0.305365215575073,0,0,0,0
"2006-07-06",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2006-08-03",1.83219129345044,0,1.52682607787536,0.305365215575073,0,0,0,0
"2006-08-31",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2006-10-05",1.83219129345044,0,1.52682607787536,0.305365215575073,0,0,0,0
"2006-11-02",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2006-12-07",1.83219129345044,0,1.52682607787536,0.305365215575073,0,0,0,0
"2007-01-11",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2007-02-08",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2007-03-08",1.83219129345044,0,1.52682607787536,0.305365215575073,0,0,0,0
"2007-04-12",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2007-05-10",-0.988648924071743,0,-0.741486693053807,-0.247162231017936,0,0,0,0
"2007-06-06",1.83219129345044,0,1.52682607787536,0.305365215575073,0,0,0,0
"2007-07-05",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2007-08-02",-0.846818969000795,0,-0.635114226750596,-0.211704742250199,0,0,0,0
"2007-09-06",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2007-10-04",-0.988648924071743,0,-0.741486693053807,-0.247162231017936,0,0,0,0
"2007-11-08",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2007-12-06",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2008-01-10",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2008-02-07",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2008-03-06",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2008-04-10",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2008-05-08",-0.988648924071743,0,-0.741486693053807,-0.247162231017936,0,0,0,0
"2008-06-05",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2008-07-03",1.83219129345044,0,1.52682607787536,0.305365215575073,0,0,0,0
"2008-08-07",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2008-09-04",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2008-10-02",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2008-10-08",-0.0746336580589694,-0.0203546340160826,-0.0282703250223369,-0.0113081300089348,0,-0.00339243900268043,-0.0113081300089348,0
"2008-11-06",-1.05168445965883,0,-0.876403716382358,-0.175280743276472,0,0,0,0
"2008-12-04",-1.08320222745237,0,-0.902668522876978,-0.180533704575396,0,0,0,0
"2009-01-15",-0.515882407168584,0,-0.515882407168584,0,0,0,0,0
"2009-02-05",0.587239465605452,0,0.293619732802726,0.293619732802726,0,0,0,0
"2009-03-05",-1.08320222745237,0,-0.902668522876978,-0.180533704575396,0,0,0,0
"2009-04-02",-1.08320222745237,0,-0.902668522876978,-0.180533704575396,0,0,0,0
"2009-05-07",-0.437087987684724,0,-0.36423998973727,-0.072847997947454,0,0,0,0
"2009-06-04",0.587239465605452,0,0.293619732802726,0.293619732802726,0,0,0,0
